step,vehicle,speed,distance_to_intersection,decision
125,car0,0.0,35.24576682991362,WAIT
125,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
125,car2,0.0,35.99419456403629,WAIT
126,car0,0.0,35.24576682991362,WAIT
126,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
126,car2,0.0,35.99419456403629,WAIT
127,car0,0.0,35.24576682991362,WAIT
127,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
127,car2,0.0,35.99419456403629,WAIT
128,car0,0.0,35.24576682991362,WAIT
128,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
128,car2,0.0,35.99419456403629,WAIT
129,car0,0.0,35.24576682991362,WAIT
129,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
129,car2,0.0,35.99419456403629,WAIT
130,car0,0.0,35.24576682991362,WAIT
130,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
130,car2,0.0,35.99419456403629,WAIT
131,car0,0.0,35.24576682991362,WAIT
131,car1,2.600000000000005,17.318755845991706,PROCEED
131,car2,0.0,35.99419456403629,WAIT
132,car0,0.0,35.24576682991362,WAIT
132,car1,5.200000000000005,13.11038645247213,PROCEED
132,car2,0.0,35.99419456403629,WAIT
133,car0,0.0,35.24576682991362,WAIT
133,car1,7.800000000000004,9.538989391255987,PROCEED
133,car2,0.0,35.99419456403629,WAIT
134,car0,0.0,35.24576682991362,WAIT
134,car1,10.400000000000004,13.426687747973482,PROCEED
134,car2,0.0,35.99419456403629,WAIT
135,car0,0.0,35.24576682991362,WAIT
135,car1,13.000000000000004,23.833879565727734,PROCEED
135,car2,0.0,35.99419456403629,WAIT
136,car0,0.0,35.24576682991362,PROCEED
136,car1,13.032987,35.863618543364105,WAIT
136,car2,0.0,35.99419456403629,WAIT
137,car0,2.6,37.72002580847449,WAIT
137,car1,8.532987,44.049618871015156,WAIT
137,car2,0.0,35.99419456403629,PROCEED
138,car0,0.0,37.72002580847449,PROCEED
138,car1,4.032987,47.960611635734885,FREE
138,car2,2.6,38.473692167368085,WAIT
139,car0,2.6,40.21015786143991,WAIT
139,car1,6.632987,54.43155730899876,FREE
139,car2,0.0,38.473692167368085,PROCEED
140,car0,0.0,40.21015786143991,PROCEED
140,car1,9.232987,63.494445164064224,FREE
140,car2,2.6,40.96813291039139,WAIT
141,car0,2.6,42.713386943421504,WAIT
141,car1,11.832987,75.16964431890504,FREE
141,car2,0.0,40.96813291039139,PROCEED
142,car0,0.0,42.713386943421504,PROCEED
142,car1,13.032987,88.07721116367384,FREE
142,car2,2.6,43.4749447134321,WAIT
143,car0,2.6,45.22753844508429,FREE
143,car1,13.032987,101.0166418615418,FREE
143,car2,0.0,43.4749447134321,PROCEED
144,car0,5.2,50.28204843786315,FREE
144,car2,2.6,45.99210475730432,FREE
145,car0,7.800000000000001,57.912148917270706,FREE
145,car2,5.2,51.05134082317311,FREE
146,car0,10.4,68.14550352962769,FREE
146,car2,7.800000000000001,58.68635095434976,FREE
147,car0,13.0,80.99694155101068,FREE
147,car2,10.4,68.92386141223056,FREE
148,car0,13.89,94.77302571112577,FREE
148,car2,13.0,81.77843109726575,FREE
149,car0,13.89,108.57816364769866,FREE
149,car2,13.89,95.55653305798567,FREE
150,car2,13.89,109.36294534133701,FREE
151,car2,13.89,123.18814960758732,FREE
152,car2,13.89,137.02645795644378,FREE
